day,muscle_mass_kg,muscle_strength_index,bone_density_g_cm2,cardio_fitness_vo2max,immune_competence_index,cognitive_function_index,dna_damage_index
0,35.0,0.75,1.1,45.0,0.8,0.85,0.0
1,34.92685,0.749365,1.09945,44.991899999999994,0.80037,0.85,0.0006
2,34.853852883500004,0.7487299999999999,1.098900275,44.983801457999995,0.80074,0.85,0.0011879999999999998
3,34.781008330973485,0.7480949999999998,1.0983508248625002,44.97570437373756,0.80111,0.85,0.0017642399999999998
4,34.70831602356175,0.7474599999999998,1.0978016494500689,44.96760874695028,0.80148,0.85,0.0023289552
5,34.635775643072506,0.7468249999999997,1.0972527486253438,44.95951457737583,0.80185,0.85,0.0028823760959999995
6,34.56338687197849,0.7461899999999997,1.0967041222510312,44.9514218647519,0.8022199999999999,0.85,0.0034247285740799994
7,34.49114939341605,0.7455549999999996,1.0961557701899058,44.94333060881625,0.8025899999999999,0.85,0.003956234002598399
8,34.41906289118381,0.7449199999999996,1.095607692304811,44.935240809306656,0.8029599999999999,0.85,0.004477109322546431
9,34.34712704974124,0.7442849999999995,1.0950598884586586,44.92715246596098,0.8033299999999999,0.85,0.004987567136095502
10,34.27534155420728,0.7436499999999995,1.0945123585144292,44.91906557851711,0.8036999999999999,0.85,0.005487815793373592
11,34.20370609035899,0.7430149999999994,1.093965102335172,44.91098014671298,0.8040699999999998,0.85,0.00597805947750612
12,34.13222034463014,0.7423799999999994,1.0934181197840045,44.90289617028657,0.8044399999999998,0.85,0.006458498287955997
13,34.06088400410986,0.7417449999999993,1.0928714107241126,44.89481364897592,0.8048099999999998,0.85,0.006929328322196876
14,33.98969675654127,0.7411099999999993,1.0923249750187505,44.8867325825191,0.8051799999999998,0.85,0.007390741755752939
15,33.918658290320096,0.7404749999999992,1.091778812531241,44.87865297065425,0.8055499999999998,0.85,0.00784292692063788
16,33.84776829449333,0.7398399999999992,1.0912329231249753,44.87057481311953,0.8059199999999997,0.85,0.008286068382225122
17,33.77702645875784,0.7392049999999991,1.0906873066634128,44.86249810965317,0.8062899999999997,0.85,0.00872034701458062
18,33.70643247345904,0.7385699999999991,1.0901419630100813,44.854422859993434,0.8066599999999997,0.85,0.009145940074289007
19,33.63598602958951,0.737934999999999,1.0895968920285763,44.846349063878634,0.8070299999999997,0.85,0.009563021272803228
20,33.56568681878767,0.737299999999999,1.089052093582562,44.83827672104714,0.8073999999999997,0.85,0.009971760847347163
21,33.495534533336404,0.7366649999999989,1.088507567535771,44.83020583123734,0.8077699999999997,0.85,0.01037232563040022
22,33.42552886616173,0.7360299999999989,1.087963313752003,44.82213639418772,0.8081399999999996,0.85,0.010764879117792215
23,33.355669510831454,0.7353949999999988,1.087419332095127,44.81406840963677,0.8085099999999996,0.85,0.011149581535436371
24,33.28595616155382,0.7347599999999987,1.0868756224290796,44.806001877323034,0.8088799999999996,0.85,0.011526589904727644
25,33.21638851317617,0.7341249999999987,1.086332184617865,44.79793679698512,0.8092499999999996,0.85,0.01189605810663309
26,33.14696626118363,0.7334899999999986,1.085789018525556,44.78987316836166,0.8096199999999996,0.85,0.012258136944500429
27,33.07768910169776,0.7328549999999986,1.0852461240162932,44.78181099119135,0.8099899999999995,0.85,0.01261297420561042
28,33.00855673147521,0.7322199999999985,1.0847035009542851,44.77375026521293,0.8103599999999995,0.85,0.012960714721498212
29,32.93956884790642,0.7315849999999985,1.0841611492038081,44.76569099016519,0.8107299999999995,0.85,0.013301500427068248
30,32.8707251490143,0.7309499999999984,1.0836190686292062,44.75763316578696,0.8110999999999995,0.85,0.013635470418526882
31,32.80202533345285,0.7303149999999984,1.0830772590948916,44.74957679181712,0.8114699999999995,0.85,0.013962761010156343
32,32.733469100505936,0.7296799999999983,1.0825357204653443,44.74152186799459,0.8118399999999995,0.85,0.014283505789953216
33,32.665056150085874,0.7290449999999983,1.0819944526051115,44.733468394058356,0.8122099999999994,0.85,0.014597835674154151
34,32.59678618273219,0.7284099999999982,1.081453455378809,44.72541636974743,0.8125799999999994,0.85,0.014905878960671068
35,32.52865889961028,0.7277749999999982,1.0809127286511195,44.71736579480088,0.8129499999999994,0.85,0.015207761381457647
36,32.46067400251009,0.7271399999999981,1.080372272286794,44.70931666895782,0.8133199999999994,0.85,0.015503606153828493
37,32.39283119384484,0.7265049999999981,1.0798320861506507,44.701268991957406,0.8136899999999994,0.85,0.015793534030751923
38,32.3251301766497,0.725869999999998,1.0792921701075753,44.693222763538856,0.8140599999999993,0.85,0.016077663350136884
39,32.257570654580505,0.725234999999998,1.0787525240225215,44.68517798344142,0.8144299999999993,0.85,0.016356110083134145
40,32.19015233191243,0.7245999999999979,1.0782131477605101,44.6771346514044,0.8147999999999993,0.85,0.016628987881471463
41,32.12287491353874,0.7239649999999979,1.07767404118663,44.66909276716715,0.8151699999999993,0.85,0.016896408123842032
42,32.05573810496944,0.7233299999999978,1.0771352041660365,44.661052330469055,0.8155399999999993,0.85,0.01715847996136519
43,31.98874161233006,0.7226949999999978,1.0765966365639534,44.65301334104957,0.8159099999999992,0.85,0.017415310362137885
44,31.921885142360292,0.7220599999999977,1.0760583382456714,44.64497579864818,0.8162799999999992,0.85,0.017667004154895128
45,31.85516840241276,0.7214249999999977,1.0755203090765486,44.63693970300443,0.8166499999999992,0.85,0.017913664071797224
46,31.788591100451722,0.7207899999999976,1.0749825489220102,44.62890505385789,0.8170199999999992,0.85,0.01815539079036128
47,31.722152945051775,0.7201549999999975,1.074445057647549,44.6208718509482,0.8173899999999992,0.85,0.018392282974554055
48,31.655853645396615,0.7195199999999975,1.0739078351187252,44.61284009401503,0.8177599999999992,0.85,0.018624437315062973
49,31.589692911277734,0.7188849999999974,1.0733708812011657,44.60480978279811,0.8181299999999991,0.85,0.01885194856876171
50,31.523670453093164,0.7182499999999974,1.0728341957605652,44.59678091703721,0.8184999999999991,0.85,0.019074909597386478
51,31.4577859818462,0.7176149999999973,1.0722977786626848,44.588753496472144,0.8188699999999991,0.85,0.01929341140543875
52,31.39203920914414,0.7169799999999973,1.0717616297733537,44.58072752084278,0.8192399999999991,0.85,0.019507543177329972
53,31.326429847197026,0.7163449999999972,1.0712257489584671,44.57270298988903,0.8196099999999991,0.85,0.01971739231378337
54,31.260957608816387,0.7157099999999972,1.070690136083988,44.56467990335085,0.819979999999999,0.85,0.019923044467507704
55,31.19562220741396,0.7150749999999971,1.0701547910159461,44.55665826096824,0.820349999999999,0.85,0.020124583578157548
56,31.130423357000467,0.7144399999999971,1.0696197136204382,44.54863806248127,0.820719999999999,0.85,0.020322091906594397
57,31.065360772184334,0.713804999999997,1.069084903763628,44.540619307630024,0.821089999999999,0.85,0.02051565006846251
58,31.000434168170468,0.713169999999997,1.0685503613117464,44.53260199615465,0.821459999999999,0.85,0.02070533706709326
59,30.93564326075899,0.7125349999999969,1.0680160861310906,44.524586127795345,0.821829999999999,0.85,0.02089123032575139
60,30.870987766344005,0.7118999999999969,1.067482078088025,44.51657170229234,0.8221999999999989,0.85,0.02107340571923636
61,30.806467401912347,0.7112649999999968,1.066948337048981,44.508558719385924,0.8225699999999989,0.85,0.021251937604851633
62,30.74208188504235,0.7106299999999968,1.0664148628804566,44.50054717881643,0.8229399999999989,0.85,0.0214268988527546
63,30.677830933902612,0.7099949999999967,1.0658816554490163,44.49253708032425,0.8233099999999989,0.85,0.021598360875699506
64,30.613714267250757,0.7093599999999967,1.0653487146212919,44.48452842364979,0.8236799999999989,0.85,0.021766393658185515
65,30.549731604432203,0.7087249999999966,1.0648160402639812,44.47652120853354,0.8240499999999988,0.85,0.021931065785021804
66,30.48588266537894,0.7080899999999966,1.0642836322438491,44.468515434716004,0.8244199999999988,0.85,0.022092444469321366
67,30.4221671706083,0.7074549999999965,1.0637514904277272,44.460511101937755,0.8247899999999988,0.85,0.02225059557993494
68,30.35858484122173,0.7068199999999965,1.0632196146825135,44.4525082099394,0.8251599999999988,0.85,0.02240558366833624
69,30.29513539890358,0.7061849999999964,1.0626880048751723,44.444506758461614,0.8255299999999988,0.85,0.022557471994969516
70,30.23181856591987,0.7055499999999963,1.0621566608727346,44.43650674724509,0.8258999999999987,0.85,0.022706322555070126
71,30.168634065117097,0.7049149999999963,1.0616255825422982,44.42850817603058,0.8262699999999987,0.85,0.022852196103968724
72,30.105581619921004,0.7042799999999962,1.0610947697510271,44.4205110445589,0.8266399999999987,0.85,0.02299515218188935
